영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
마녀,"미스터리, 액션",박훈정,"김다미, 조민수, 박희순, 최우식, 김하나, 정다은, 김기훈, 최정우, 고민시, 오미희, 김병옥, 이주원, 권태원, 이기영, 백승철, 이강곤, 이상용, 백규현, 김종면, 김종훈, 서영희, 송민수, 이주원, 이채현, 이하영, 이혜성, 남경민, 모그, 박상현, 박상훈, 박시현, 장민재, 박정수, 정승채, 정지민, 김한솔, 조제웅, 진영준, 권용석, 김미진, 김상훈, 김수현, 김승우, 김영원, 김영민, 김우주, 현봉식, 최현종, 곽진석, 명홍진",20180627,https://image.tmdb.org/t/p/w500/abWjmAyjSWqNo6C5ty3UZTZIYDz.jpg,"10년 전 의문의 사고가 일어난 시설에서 홀로 탈출한 후 모든 기억을 잃은 자윤. 나이도, 이름도 모르는 자신을 거두고 키워준 노부부의 보살핌으로  씩씩하고 밝은 여고생으로 자라났다. 어려운 집안사정을 돕기 위해 상금이 걸린 오디션 프로그램에 출연한 자윤, 방송이 나간 직후부터 의문의 인물들이 그녀 앞에 나타난다. 자윤의 주변을 맴돌며 날카롭게 지켜보는 남자 귀공자, 그리고 과거 사고가 일어난 시점부터 사라진 아이를 찾던 닥터 백과 미스터 최까지 자신은 전혀 기억하지 못하는 그들의 등장으로, 자윤은 혼란에 휩싸이게 되는데..."
스카이스크래퍼,"액션, 스릴러",로슨 마샬 터버,"드웨인 존슨, 파블로 쉬레이버, 니브 캠벨, 바이런 만, 친 한",20180711,https://image.tmdb.org/t/p/w500/5PjCzUUVSFlxDl1pzPYLSuT19At.jpg,사고로 다리를 잃고 은퇴한 FBI 출신의 월 소여는 퇴직 후 보안업체에서 일하게 된다. 능력을 인정받아 세계 최고층 건물인 펄의 보안 전문가로 발탁된다. 아직 개장을 안한 빌딩에 소여의 가족 한 세대만 입주한 상태에서 어느 날 테러리스트들이 빌딩을 점거하고 불을 지른다. 불길과 테러리스트와 사투하면서 소여는 가족들을 구하고 펄의 주인 자오 롱 지와 테러리스트와의 비밀을 파해치기 위해 고군분투 하는데...
독전: 익스텐디드 컷,"범죄, 액션",이해영,"조진웅, 류준열, 김주혁, 김성령, 박해준, 차승원",20180718,https://image.tmdb.org/t/p/w500/uKrVg8dQUiXCR6Wf1yx573ElFT1.jpg,"아시아 최대 마약 조직 산하에 있는 마약 제조 공장에서 의문의 폭발 사고가 발생한다. 목숨을 잃을 뻔했던 조직의 후견인 연옥은 배신감을 느끼고, 조직의 수장 이 선생을 오랫동안 쫓아왔던 형사 원호를 직접 찾아가 중요한 정보를 흘린다. 유일한 생존자였던 락은 조직으로부터 버림받은 후 원호의 수사에 적극적으로 협조하기로 한다. 두 사람은 이 선생과 거래를 할 예정이었던 진하림과 헌신적인 조직원 선창 사이를 오가며 이 선생의 실체에 조금씩 다가간다. 그리고 원호와 락 앞에 거물급 조직 인사 브라이언이 모습을 드러낸다."
호텔 아르테미스,"액션, 범죄",드류 피어스,"조디 포스터, 데이브 바티스타, 스털링 K. 브라운, 소피아 부텔라, 제프 골드블럼, 재커리 퀸토, 찰리 데이",20180718,https://image.tmdb.org/t/p/w500/wDV0WyeZqsFl6YDb13zNe8udNkj.jpg,"깨끗한 물을 요구하는 폭동이 일어나는 2028년 LA. 진 토마스는 이곳에서 아르테미스 호텔을 운영한다. 호텔 아르테미스는 숙박업소가 아니다. 진 토마스가 마피아 보스 울프킹의 지원을 받아 22년 동안 범죄자들을 치료해온 비밀 병원이다. 정부 몰래 운영되고 있는 까닭에 회비를 낸 회원들만 이용이 가능하고, 이곳에선 살인, 난동, 무기 소지, 기물 파손, 면회 등이 금지된다. 어느 날, 총상을 입은 은행 강도 와이키키, 베테랑 킬러 니스, 말 많은 무기상 나이아가라, 울프킹과 그의 조직원들이 한꺼번에 이곳에 들어오는데..."
미드나잇 선,멜로/로맨스,스콧 스피어,"벨라 손, 패트릭 슈왈제네거, 롭 리글, 퀸 쉐퍼드, 니콜라스 쿰베",20180621,https://image.tmdb.org/t/p/w500/ySMudfcxhOncsjBfwpjFhg6dx6h.jpg,"XP(색소성건피증)라는 희귀병으로 태양을 피해야만 하는 케이티. 오직 밤에만 외출이 허락된 그녀에게는 어머니가 남겨준 기타와 창문 너머로 10년째 짝사랑해온 ‘찰리’가 세상의 빛이다. 어느 날 작은 기차역에서 한밤의 버스킹을 하던 ‘케이티’의 앞에 ‘찰리’가 나타나고, 두 사람은 매일 밤마다 모두가 부러워하는 완벽한 데이트를 이어간다.  처음으로 함께 여행을 떠난 날, 꿈 같은 시간을 보내던 ‘케이티’는 그만 지켜야만 하는 규칙을 어기게 되고 결국 피할 수 없는 선택을 해야만 하는데… 너에게 하고 싶은 진짜 사랑 고백, 태양이 뜬 뒤에도 내 곁에 있어줄래?"
신은 죽지 않았다 3: 어둠 속의 빛,드라마,마이클 메이슨,"존 코베트, 쉐인 하퍼, 테드 맥긴리, 데이빗 앤드류 로이 화이트",20180719,https://image.tmdb.org/t/p/w500/desAQ09xBaiha9VivV9mMFB6enK.jpg,150년간 자리를 지켜온 성 제임스 교회의 목사 ‘데이빗 힐’은 교회에서 일어난 의문의 화재사건으로 친구를 잃고 캠퍼스 내에 위치한 교회의 퇴거를 요구하는 주립대와 갈등을 빚는다. 학교와의 갈등은 점점 더 깊어져 데이빗 목사의 신념과 믿음마저 흔들리게 되는데…
인랑,"SF, 액션",김지운,"강동원, 한효주, 윤호림, 정우성, 김무열, 최민호, 한예리, 신은수, 정원중, 최진호, 허준호, 이동하, 김지아, 김준범, 민일홍, 문예원, 김현준, 이가경, 박형수, 전여빈, 김기태, 김재영, 이승진, 이시형, 서영민, 선호삼, 이진한, 이찬희, 이확광, 임서영, 안성봉, 양도현, 김현창, 박영서, 박주희, 정원종, 조아라, 김기범, 최진호, 김성호, 김성호, 김우진, 소윤호, 정기섭, 장원형, 허지원, 옥자연, 홍인, 권혁범, 김시원, 전광진, 손경원, 김조운, 김도율, 김예은, 김종태, 김태윤, 조윤담, 박재한, 한희경",20180725,https://image.tmdb.org/t/p/w500/9kAjGEOLWF1FXZy5DgghdoCD4OO.jpg,"남북한 정부가 통일준비 5개년 계획을 선포한 후, 강대국의 경제 제재가 이어지고,  민생이 악화되는 등 지옥 같은 시간이 이어지고 있는 혼돈의 2029년. 자원은 고갈되고 빈곤층이 늘어나면서 도시가 황폐해지자, 통일에 반대하는 반정부 무장테러단체 섹트가 등장한다. 섹트를 진압하기 위해 설립된 대통령 직속의 새로운 경찰조직 특기대는 정국의 주도권을 장악하고, 이에 입지가 줄어든 정보기관공안부는 특기대를 말살할 음모를 꾸민다. 절대 권력기관 간의 피비린내 나는 암투 사이, 특기대 내 비밀조직 인랑에 대한 소문이 떠도는데..."
이별의 아침에 약속의 꽃을 장식하자,"애니메이션, 판타지, 드라마",오카다 마리,"이와미 마나카, 이리노 미유",20180719,https://image.tmdb.org/t/p/w500/x4lFC7knq631uFzGsOiu4xZ9ZYQ.jpg,10대 중반에 외모의 성장이 멈추고 수백년을 사는 장수 민족 이올프는 인간이 사는 마을에서 멀리 떨어져 조용히 살고 있었다.  하지만 그들의 온화한 일상은 장수의 피를 요구하는 메자테 군에 의해 파괴된다. 모든 것을 잃고 외톨이가 된 이올프의 소녀 마키아는 숲을 방황하던 중 부모를 잃은 아기를 운명적으로 만나 그를 키워 나가기로 결심한다.
탐정: 리턴즈,"코미디, 범죄",이언희,"권상우, 성동일, 김수영, 김승필, 이광수, 이일화, 남명렬, 손담비, 최성원, 박성일, 오희준, 서영희, 정연주, 김성규, 김동욱, 김동욱, 이광호, 이동민, 이동민, 심상민, 엄진용, 임승묵, 박성연, 임효우, 박영식, 정성호, 정인영, 박태강, 정택호, 조혜선, 최광락, 권혁석, 김미진, 최재옥, 홍광석, 홍광석, 김선간, 김승필, 김용호, 김원진, 김연교, 백인권, 이상철",20180613,https://image.tmdb.org/t/p/w500/b5KVtP7dLeQoEM5iMjs4Iib18Eb.jpg,"역대급 미제사건을 해결한 추리 콤비, 셜록 덕후 만화방 주인 강대만과 광역수사대 레전드 형사 노태수. 드디어 대한민국 최초 탐정사무소를 개업하고, 전직 사이버 수사대 에이스 여치까지 영입하며 탐정으로서의 첫 발을 내딛는다. 하지만 꿈과 현실은 다른 법! 기다리는 사건 대신 파리만 날리고, 생활비 압박에 결국 경찰서까지 찾아가 몰래 영업을 뛰기 시작한다. 드디어 기다림 끝에 찾아온 첫 의뢰인. 게다가 성공보수는 무려 5천만원! 자신만만하게 사건을 받아 든 세 사람은 파헤칠수록 꼬리에 꼬리를 무는 의심스러운 증거들로 혼란에 빠지기 시작하는데…"
쥬라기 월드: 폴른 킹덤,"액션, 어드벤처, SF",후안 안토니오 바요나,"크리스 프랫, 브라이스 달라스 하워드, 제프 골드블럼, 저스티스 스미스, 토비 존스, B.D. 웡, 테드 레빈, 제임스 크롬웰, 라프 스팰, 제랄딘 채플린, 마이클 파파존, 카밀 레미에쉐브스키, 다니엘라 피네다, 로버트 엠스",20180606,https://image.tmdb.org/t/p/w500/xR2VgpNxElFOJBul0q7ULiT0ayF.jpg,"지상 최대의 테마파크 쥬라기 월드가 폐쇄된 지 3년 후.  이슬라 누블라의 활화산 시보산이 분화하려는 조짐을 보이자 조짐에 뉴스에서는 이와 더불어 공룡들의 보호에 관련된 시위나 소식들을 보도한다. 오웬(크리스 프렛)과 클레어(브라이스 달라스 하워드)는 벤자민 록우드(제임스 크롬웰)의 부탁으로 공룡들의 멸종을 막기 위해 이슬라 누블라 섬으로 떠난다. 한편 진화된 공룡들을 이용하려는 세력의 거대한 음모가 드러나고, 절대 지상에 존재해선 안될 위협적 공룡들이 마침내 세상 밖으로 등장하게 되는데..."
오션스8,"액션, 범죄",게리 로스,"산드라 블록, 케이트 블란쳇, 앤 해서웨이, 민디 캘링, 사라 폴슨, 아콰피나, 리한나, 헬레나 본햄 카터",20180613,https://image.tmdb.org/t/p/w500/mbE7RoCiFLljulqOhYSlkrnt5b0.jpg,"전 애인의 배신으로 5년간 감옥에서 썩은 데비 오션은 가석방되자마자  믿음직한 동료 루와 함께 새로운 작전을 계획한다. 그들의 목표는 바로 뉴욕 메트로폴리탄 박물관에서 열리는 미국 최대 패션 행사인  메트 갈라에 참석하는 톱스타 다프네의 목에 걸린 1천 5백억 원의 다이아몬드 목걸이, 투생을 훔치는 것. 패션 디자이너 로즈 바일부터 보석 전문가 아미타, 소매치기 콘스탄스와 해커 나인 볼까지, 전격 결성된 각 분야 전문가들이 마침내 실행에 나서는데..."
독전,"범죄, 액션",이해영,"조진웅, 류준열, 김주혁, 김성령, 박해준, 차승원, 진서연, 이주영, 서현우, 강승현, 정가람, 김동영, 금새록, 정준원, 김태준, 이경제, 이민호, 김재훈, 백승환, 이정철, 이정호, 김준형, 이주영, 이지민, 안성봉, 김태준, 김태현, 오현석, 박성연, 박예진, 박은영, 박정진, 박종범, 정여진, 박진수, 최성철, 김대근, 황기석, 김양수, 김선우, 강지현, 김누리, 김동영, 서문호, 이육헌, 윤재인, 정종우, 추연규, 이슬이",20180522,https://image.tmdb.org/t/p/w500/uKrVg8dQUiXCR6Wf1yx573ElFT1.jpg,"아시아 최대 마약 조직 산하에 있는 마약 제조 공장에서 의문의 폭발 사고가 발생한다. 목숨을 잃을 뻔했던 조직의 후견인 연옥은 배신감을 느끼고, 조직의 수장 이 선생을 오랫동안 쫓아왔던 형사 원호를 직접 찾아가 중요한 정보를 흘린다. 유일한 생존자였던 락은 조직으로부터 버림받은 후 원호의 수사에 적극적으로 협조하기로 한다. 두 사람은 이 선생과 거래를 할 예정이었던 진하림과 헌신적인 조직원 선창 사이를 오가며 이 선생의 실체에 조금씩 다가간다. 그리고 원호와 락 앞에 거물급 조직 인사 브라이언이 모습을 드러낸다."
여중생A,드라마,이경섭,"김환희, 김준면, 정다빈, 이종혁, 정다빈, 유재상, 정다은, 김현빈, 유수아, 정다은, 김정화, 이준, 이승연, 이영우, 이유리, 김태훈, 옥윤중, 옥윤중, 신범식, 박정숙, 박철희, 박지영, 박지윤, 조영웅, 조영웅, 홍근택, 김유진, 어성욱, 이상희, 전운종, 정해원, 최원",20180620,https://image.tmdb.org/t/p/w500/wFTakmrbBEV5WUlwYuN2FQ6GH4w.jpg,"취미는 게임, 특기는 글쓰기인 여중생 ‘미래’가 가장 좋아하는 곳은 게임 세계 ‘원더링 월드’.  괴물 같은 아빠도 없고, 외로운 학교도 가지 않아도 되는 그 곳에서 미래는 자신만의 세상을 꿈꾸며 살아간다.  그러다 난생 처음으로 현실친구를 사귀기 위해 '태양'과 '백합'에게 다가가려 조금씩 용기를 내어 보지만, 뜻하지 않은 사건으로 인해 상처 받고 더욱 움츠러 들고 만다.  게다가 유일한 세상이었던 ‘원더링 월드’마저 서비스를 중단한다는 소식이 전해지고, 다시 혼자가 된 미래는 랜선친구 ‘재희’를 만나러 가는데…"
아이 필 프리티,코미디,아비 콘,"에이미 슈머, 미쉘 윌리엄스",20180606,https://image.tmdb.org/t/p/w500/5tw2FTUOBIyg6BcEtE5N2Dxut2N.jpg,"뛰어난 패션센스에 매력적인 성격이지만 통통한 몸매가 불만인 르네, 예뻐지기만 하면 뭐든 다 할 수 있을 것만 같다. 하늘에 온 마음을 담아 간절히 소원을 빌지만 당연히 달라지는 건 1%도 없고. 오늘도 헬스클럽에서 스피닝에 열중하는 르네. 그러나 과도한 열정은 오히려 독이 되는 법. 미친 듯이 페달을 밟다가 헬스 클럽 바닥에 내동댕이쳐져 머리를 부딪히고, 지끈지끈한 머리, 창피해서 빨개진 얼굴로 겨우 일어났는데 뭔가 이상하다. 거울 속의 내가… 좀 예쁘다?! 드디어 소원성취한 르네의 참을 수 없는 웃음이 터진다!"
아바타,"SF, 액션, 어드벤처",제임스 카메론,"샘 워싱턴, 조 샐다나, 시고니 위버",20091217,https://image.tmdb.org/t/p/w500/m5lCha2XcbDowDoYHPc0DTNaCPU.jpg,"가까운 미래, 지구는 에너지 고갈 문제를 해결하기 위해 머나먼 행성 판도라에서 대체 자원을 채굴하기 시작한다. 하지만 판도라의 독성을 지닌 대기로 인해 자원 획득에 어려움을 겪게 된 인류는 판도라의 토착민 나비의 외형에 인간의 의식을 주입, 원격 조종이 가능한 새로운 생명체를 탄생시키는 프로그램을 개발한다. 한편 하반신이 마비된 전직 해병대원 제이크 설리는 아바타 프로그램에 참가할 것을 제안받는다. 그 곳에서 자신의 아바타를 통해 자유롭게 걸을 수 있게 된 제이크는 자원 채굴을 막으려는 나비의 무리에 침투하라는 임무를 부여받는데..."
아일라,"드라마, 전쟁",칸 울카이,"김설, 이스마일 하지오글루",20180621,https://image.tmdb.org/t/p/w500/poIHctDQZ4R8kBNtKr9oHI9iNG2.jpg,"1950년 한국전쟁에 파병된 '슐레이만'은 칠흑 같은 어둠 속 홀로 남겨진 5살 소녀를 발견한다.  전쟁과 부모를 잃은 충격 속에 말을 잃은 소녀.  '슐레이만'은 소녀에게 터키어로 '달'이라는 뜻의 '아일라'라는 이름을 지어주고 함께 부대로 향한다.  서로에게 무엇과도 바꿀 수 없는 가장 소중한 존재가 된 두 사람.  그러나 행복도 잠시, '슐레이만'은 종전과 함께 고국으로 돌아가라는 명령을 받게 되고, '아일라'를 끝까지 지켜내기 위해 모두의 반대 속에 자신의 선택을 감행하게 되는데···"
유니콘 원정대: 비밀의 다이어리,애니메이션,카말 반살,,20180621,https://image.tmdb.org/t/p/w500/5TFp7KatEJeL42en7IAugnfa4hM.jpg,"세계 곳곳을 누비며 신비로운 보물을 찾아다니던 위대한 탐험가 ‘찰스’는 전설의 유니콘을 찾아 떠난 이후 행방불명이 된다. 아빠를 찾기 위해 아빠의 친구이자 천재 박사인 ‘존스’와 만난 ‘멜로디’와 ‘모’ 남매는 아빠가 남긴 의문의 수수께끼를 풀며 흥미진진한 모험을 시작하는데∙∙∙ 과연, 사라진 아빠를 구하고 전설의 동물 유니콘을 찾을 수 있을까?"
